DATE,vwretd
2013-04-01,-0.005392
2013-04-02,0.002710
2013-04-03,-0.011859
2013-04-04,0.003826
2013-04-05,-0.003519
2013-04-08,0.006639
2013-04-09,0.003703
2013-04-10,0.011618
2013-04-11,0.003194
2013-04-12,-0.003780
2013-04-15,-0.025595
2013-04-16,0.014655
2013-04-17,-0.014689
2013-04-18,-0.005690
2013-04-19,0.009359
2013-04-22,0.004277
2013-04-23,0.010143
2013-04-24,0.002179
2013-04-25,0.004946
2013-04-26,-0.002476
2013-04-29,0.007371
2013-04-30,0.004139
2013-05-01,-0.010607
2013-05-02,0.009484
2013-05-03,0.010398
2013-05-06,0.002566
2013-05-07,0.005135
2013-05-08,0.005022
2013-05-09,-0.003689
2013-05-10,0.004676
2013-05-13,-0.000627
2013-05-14,0.009349
2013-05-15,0.003945
2013-05-16,-0.004594
2013-05-17,0.009395
2013-05-20,0.000649
2013-05-21,0.001600
2013-05-22,-0.009642
2013-05-23,-0.002446
2013-05-24,-0.001030
2013-05-28,0.006307
2013-05-29,-0.006970
2013-05-30,0.004204
2013-05-31,-0.013568
2013-06-03,0.004640
2013-06-04,-0.005563
2013-06-05,-0.013397
2013-06-06,0.008981
2013-06-07,0.011386
2013-06-10,0.000184
2013-06-11,-0.010890
2013-06-12,-0.008137
2013-06-13,0.015060
2013-06-14,-0.005379
2013-06-17,0.007193
2013-06-18,0.007358
2013-06-19,-0.013406
2013-06-20,-0.025751
2013-06-21,0.001443
2013-06-24,-0.012352
2013-06-25,0.010324
2013-06-26,0.008926
2013-06-27,0.008125
2013-06-28,-0.002809
2013-07-01,0.006716
2013-07-02,-0.001412
2013-07-03,0.000408
2013-07-05,0.009033
2013-07-08,0.005168
2013-07-09,0.007724
2013-07-10,0.000629
2013-07-11,0.014617
2013-07-12,0.002470
2013-07-15,0.002326
2013-07-16,-0.003791
2013-07-17,0.003003
2013-07-18,0.005469
2013-07-19,0.001494
2013-07-22,0.002802
2013-07-23,-0.001167
2013-07-24,-0.004921
2013-07-25,0.003967
2013-07-26,0.000137
2013-07-29,-0.003759
2013-07-30,0.000403
2013-07-31,0.000199
2013-08-01,0.012261
2013-08-02,0.001331
2013-08-05,-0.000734
2013-08-06,-0.006571
2013-08-07,-0.004516
2013-08-08,0.005441
2013-08-09,-0.001916
2013-08-12,-0.000143
2013-08-13,0.001516
2013-08-14,-0.004099
2013-08-15,-0.012968
2013-08-16,-0.002939
2013-08-19,-0.007099
2013-08-20,0.005669
2013-08-21,-0.006167
2013-08-22,0.009128
2013-08-23,0.004367
2013-08-26,-0.002845
2013-08-27,-0.016307
2013-08-28,0.002623
2013-08-29,0.003198
2013-08-30,-0.004832
2013-09-03,0.004517
2013-09-04,0.007599
2013-09-05,0.001828
2013-09-06,0.001057
2013-09-09,0.010849
2013-09-10,0.007216
2013-09-11,0.002744
2013-09-12,-0.004003
2013-09-13,0.002645
2013-09-16,0.005156
2013-09-17,0.004981
2013-09-18,0.012556
2013-09-19,-0.001145
2013-09-20,-0.007311
2013-09-23,-0.004154
2013-09-24,-0.001217
2013-09-25,-0.001662
2013-09-26,0.003963
2013-09-27,-0.003599
2013-09-30,-0.004862
2013-10-01,0.008707
2013-10-02,-0.000674
2013-10-03,-0.008609
2013-10-04,0.006741
2013-10-07,-0.008482
2013-10-08,-0.013084
2013-10-09,-0.000451
2013-10-10,0.020996
